GO:0000001	mitochondrion inheritance	11	HORVU3Hr1G050290,HORVU2Hr1G048070,HORVU5Hr1G088030,HORVU2Hr1G122690,HORVU1Hr1G043440,HORVU1Hr1G054560,HORVU3Hr1G094260,HORVU1Hr1G084970,HORVU4Hr1G007240,HORVU7Hr1G038500,HORVU6Hr1G081340
GO:0000002	mitochondrial genome maintenance	11	HORVU5Hr1G016400,HORVU1Hr1G048480,HORVU3Hr1G031030,HORVU4Hr1G013610,HORVU2Hr1G006250,HORVU1Hr1G080040,HORVU7Hr1G112980,HORVU6Hr1G070780,HORVU3Hr1G105820,HORVU6Hr1G070330,HORVU7Hr1G029170
GO:0000003	reproduction	117	HORVU2Hr1G017210,HORVU7Hr1G043010,HORVU1Hr1G065290,HORVU5Hr1G062050,HORVU5Hr1G068990,HORVU3Hr1G115650,HORVU3Hr1G090350,HORVU7Hr1G028430,HORVU7Hr1G078020,HORVU5Hr1G028480,HORVU2Hr1G099230,HORVU2Hr1G093000,HORVU0Hr1G002690,HORVU6Hr1G031230,HORVU6Hr1G049370,HORVU5Hr1G069140,HORVU7Hr1G086690,HORVU4Hr1G062060,HORVU1Hr1G075580,HORVU5Hr1G071510,HORVU5Hr1G068140,HORVU3Hr1G081960,HORVU2Hr1G124870,HORVU4Hr1G044200,HORVU1Hr1G075860,HORVU7Hr1G032330,HORVU7Hr1G045860,HORVU5Hr1G097290,HORVU3Hr1G022640,HORVU1Hr1G056470,HORVU3Hr1G004360,HORVU7Hr1G089870,HORVU3Hr1G062500,HORVU5Hr1G105480,HORVU6Hr1G091430,HORVU5Hr1G061870,HORVU5Hr1G075470,HORVU7Hr1G057460,HORVU5Hr1G045820,HORVU7Hr1G052690,HORVU5Hr1G007680,HORVU1Hr1G058580,HORVU7Hr1G086690,HORVU6Hr1G029810,HORVU5Hr1G100140,HORVU1Hr1G051250,HORVU2Hr1G096430,HORVU6Hr1G057090,HORVU5Hr1G096800,HORVU5Hr1G067630,HORVU1Hr1G079450,HORVU3Hr1G038540,HORVU1Hr1G091010,HORVU2Hr1G114670,HORVU5Hr1G120340,HORVU1Hr1G002430,HORVU4Hr1G022720,HORVU2Hr1G118420,HORVU2Hr1G125680,HORVU2Hr1G015620,HORVU7Hr1G098670,HORVU3Hr1G088210,HORVU6Hr1G057270,HORVU2Hr1G064070,HORVU2Hr1G020750,HORVU6Hr1G039490,HORVU2Hr1G071830,HORVU1Hr1G072850,HORVU2Hr1G115290,HORVU1Hr1G059010,HORVU2Hr1G083980,HORVU3Hr1G050450,HORVU7Hr1G047500,HORVU5Hr1G069090,HORVU5Hr1G118580,HORVU1Hr1G050300,HORVU2Hr1G074850,HORVU7Hr1G089870,HORVU0Hr1G006630,HORVU7Hr1G073410,HORVU5Hr1G001870,HORVU3Hr1G083110,HORVU1Hr1G003200,HORVU2Hr1G097380,HORVU2Hr1G096450,HORVU2Hr1G073300,HORVU4Hr1G012530,HORVU5Hr1G079850,HORVU5Hr1G103820,HORVU1Hr1G050600,HORVU1Hr1G012460,HORVU7Hr1G076580,HORVU4Hr1G052320,HORVU2Hr1G099100,HORVU2Hr1G093140,HORVU7Hr1G003460,HORVU7Hr1G082640,HORVU5Hr1G007670,HORVU0Hr1G004060,HORVU6Hr1G050140,HORVU6Hr1G075730,HORVU6Hr1G022370,HORVU4Hr1G050710,HORVU1Hr1G038180,HORVU2Hr1G081360,HORVU6Hr1G026320,HORVU4Hr1G074280,HORVU2Hr1G000130,HORVU2Hr1G014550,HORVU4Hr1G073610,HORVU2Hr1G118600,HORVU7Hr1G054880,HORVU7Hr1G119410,HORVU1Hr1G090460,HORVU1Hr1G045080,HORVU0Hr1G006630,HORVU0Hr1G019700
GO:0000011	vacuole inheritance	12	HORVU3Hr1G050290,HORVU5Hr1G088030,HORVU5Hr1G102220,HORVU2Hr1G118290,HORVU2Hr1G062800,HORVU2Hr1G122690,HORVU1Hr1G043440,HORVU4Hr1G007240,HORVU3Hr1G060780,HORVU7Hr1G038500,HORVU6Hr1G081340,HORVU5Hr1G120090
GO:0000012	single strand break repair	1	HORVU1Hr1G044350
GO:0000017	alpha-glucoside transport	2	HORVU1Hr1G091460,HORVU1Hr1G089680
GO:0000019	regulation of mitotic recombination	4	HORVU5Hr1G020580,HORVU3Hr1G064300,HORVU1Hr1G019340,HORVU2Hr1G116540
GO:0000022	mitotic spindle elongation	31	HORVU3Hr1G032340,HORVU3Hr1G084310,HORVU2Hr1G089070,HORVU3Hr1G063620,HORVU1Hr1G044890,HORVU4Hr1G055060,HORVU5Hr1G021730,HORVU5Hr1G021730,HORVU3Hr1G015190,HORVU4Hr1G077240,HORVU3Hr1G006000,HORVU7Hr1G082240,HORVU1Hr1G039160,HORVU6Hr1G091550,HORVU7Hr1G094870,HORVU7Hr1G052960,HORVU4Hr1G002140,HORVU5Hr1G067480,HORVU5Hr1G036630,HORVU1Hr1G022370,HORVU1Hr1G063330,HORVU7Hr1G059090,HORVU6Hr1G021020,HORVU7Hr1G066360,HORVU1Hr1G039160,HORVU1Hr1G051610,HORVU5Hr1G036630,HORVU7Hr1G045770,HORVU6Hr1G092760,HORVU7Hr1G054010,HORVU5Hr1G036630
GO:0000023	maltose metabolic process	111	HORVU2Hr1G073840,HORVU7Hr1G113210,HORVU4Hr1G027230,HORVU5Hr1G046860,HORVU3Hr1G097180,HORVU1Hr1G036990,HORVU4Hr1G051590,HORVU2Hr1G098720,HORVU3Hr1G003540,HORVU6Hr1G031650,HORVU5Hr1G001180,HORVU6Hr1G000180,HORVU2Hr1G093000,HORVU3Hr1G045270,HORVU2Hr1G084600,HORVU4Hr1G007620,HORVU4Hr1G003580,HORVU1Hr1G091600,HORVU7Hr1G054230,HORVU5Hr1G087810,HORVU0Hr1G019300,HORVU1Hr1G044680,HORVU5Hr1G098370,HORVU5Hr1G018700,HORVU2Hr1G077410,HORVU3Hr1G099430,HORVU5Hr1G033180,HORVU5Hr1G048690,HORVU1Hr1G081980,HORVU3Hr1G074820,HORVU7Hr1G042480,HORVU3Hr1G064990,HORVU4Hr1G013840,HORVU1Hr1G090870,HORVU6Hr1G073650,HORVU6Hr1G073590,HORVU2Hr1G077650,HORVU4Hr1G081220,HORVU7Hr1G090100,HORVU3Hr1G027580,HORVU6Hr1G072050,HORVU3Hr1G053500,HORVU7Hr1G006490,HORVU2Hr1G086040,HORVU3Hr1G036870,HORVU1Hr1G062690,HORVU2Hr1G104570,HORVU2Hr1G035060,HORVU5Hr1G120340,HORVU7Hr1G097470,HORVU3Hr1G078820,HORVU5Hr1G053950,HORVU3Hr1G082670,HORVU0Hr1G001170,HORVU2Hr1G065120,HORVU6Hr1G072740,HORVU2Hr1G073820,HORVU2Hr1G092180,HORVU1Hr1G035960,HORVU1Hr1G093880,HORVU7Hr1G045680,HORVU1Hr1G051200,HORVU2Hr1G124310,HORVU2Hr1G080310,HORVU2Hr1G045170,HORVU7Hr1G051710,HORVU4Hr1G012560,HORVU1Hr1G049090,HORVU1Hr1G049090,HORVU5Hr1G080160,HORVU5Hr1G070160,HORVU3Hr1G090170,HORVU2Hr1G101630,HORVU1Hr1G089820,HORVU7Hr1G027860,HORVU7Hr1G080580,HORVU4Hr1G009550,HORVU1Hr1G088590,HORVU4Hr1G088440,HORVU3Hr1G083790,HORVU2Hr1G072850,HORVU4Hr1G075140,HORVU1Hr1G066500,HORVU1Hr1G062630,HORVU5Hr1G033060,HORVU6Hr1G014060,HORVU6Hr1G065080,HORVU5Hr1G018040,HORVU0Hr1G012490,HORVU6Hr1G064120,HORVU4Hr1G074790,HORVU2Hr1G091780,HORVU4Hr1G011420,HORVU6Hr1G031830,HORVU0Hr1G033200,HORVU4Hr1G012780,HORVU3Hr1G107240,HORVU4Hr1G003420,HORVU5Hr1G066350,HORVU7Hr1G106540,HORVU7Hr1G099910,HORVU5Hr1G018040,HORVU1Hr1G004230,HORVU5Hr1G037920,HORVU7Hr1G113230,HORVU3Hr1G038830,HORVU1Hr1G093250,HORVU7Hr1G050680,HORVU0Hr1G017560,HORVU5Hr1G116290,HORVU4Hr1G027040
GO:0000024	maltose biosynthetic process	9	HORVU1Hr1G055140,HORVU1Hr1G038920,HORVU4Hr1G089510,HORVU6Hr1G015670,HORVU3Hr1G032160,HORVU2Hr1G020970,HORVU4Hr1G000540,HORVU4Hr1G084390,HORVU2Hr1G043920
