GO:0000002	mitochondrial genome maintenance	5	HORVU2Hr1G087660,HORVU2Hr1G087660,HORVU3Hr1G105820,HORVU4Hr1G013610,HORVU4Hr1G013610
GO:0000003	reproduction	15	HORVU1Hr1G043110,HORVU1Hr1G048620,HORVU3Hr1G072540,HORVU3Hr1G072540,HORVU3Hr1G072540,HORVU3Hr1G072540,HORVU4Hr1G031480,HORVU6Hr1G078440,HORVU6Hr1G079730,HORVU7Hr1G058730,HORVU7Hr1G058730,HORVU7Hr1G073410,HORVU7Hr1G091790,HORVU7Hr1G091790,HORVU7Hr1G091790
GO:0000012	single strand break repair	1	HORVU1Hr1G044350
GO:0000023	maltose metabolic process	77	HORVU0Hr1G017560,HORVU1Hr1G031230,HORVU1Hr1G043820,HORVU1Hr1G045190,HORVU1Hr1G045190,HORVU1Hr1G047820,HORVU1Hr1G061790,HORVU1Hr1G062690,HORVU1Hr1G066500,HORVU1Hr1G068500,HORVU1Hr1G074420,HORVU1Hr1G081980,HORVU1Hr1G088590,HORVU1Hr1G093880,HORVU2Hr1G005600,HORVU2Hr1G021700,HORVU2Hr1G021700,HORVU2Hr1G050450,HORVU2Hr1G073820,HORVU2Hr1G077010,HORVU2Hr1G080260,HORVU2Hr1G080310,HORVU2Hr1G086040,HORVU2Hr1G092180,HORVU2Hr1G101630,HORVU3Hr1G000390,HORVU3Hr1G000390,HORVU3Hr1G027580,HORVU3Hr1G030250,HORVU3Hr1G043930,HORVU3Hr1G078830,HORVU3Hr1G078830,HORVU3Hr1G083790,HORVU3Hr1G085270,HORVU3Hr1G085270,HORVU3Hr1G085270,HORVU3Hr1G113070,HORVU4Hr1G003580,HORVU4Hr1G003580,HORVU4Hr1G003580,HORVU4Hr1G011420,HORVU4Hr1G016410,HORVU4Hr1G016410,HORVU4Hr1G016410,HORVU4Hr1G028910,HORVU4Hr1G052990,HORVU4Hr1G052990,HORVU4Hr1G053660,HORVU4Hr1G053660,HORVU4Hr1G053660,HORVU4Hr1G060630,HORVU4Hr1G069050,HORVU4Hr1G075140,HORVU4Hr1G081770,HORVU4Hr1G086650,HORVU5Hr1G037920,HORVU5Hr1G066350,HORVU5Hr1G098370,HORVU6Hr1G005020,HORVU6Hr1G013950,HORVU6Hr1G072050,HORVU6Hr1G072740,HORVU6Hr1G073590,HORVU6Hr1G076040,HORVU7Hr1G025390,HORVU7Hr1G033940,HORVU7Hr1G042150,HORVU7Hr1G045680,HORVU7Hr1G051160,HORVU7Hr1G051710,HORVU7Hr1G060260,HORVU7Hr1G060260,HORVU7Hr1G080580,HORVU7Hr1G082990,HORVU7Hr1G090100,HORVU7Hr1G113210,HORVU7Hr1G113210
GO:0000024	maltose biosynthetic process	1	HORVU1Hr1G055140
GO:0000025	maltose catabolic process	4	HORVU2Hr1G021700,HORVU2Hr1G021700,HORVU2Hr1G028940,HORVU2Hr1G028940
GO:0000028	ribosomal small subunit assembly	3	HORVU1Hr1G042220,HORVU2Hr1G030880,HORVU4Hr1G077240
GO:0000038	very long-chain fatty acid metabolic process	18	HORVU0Hr1G009740,HORVU0Hr1G009740,HORVU0Hr1G009740,HORVU0Hr1G014960,HORVU1Hr1G089710,HORVU2Hr1G114920,HORVU4Hr1G063420,HORVU4Hr1G067340,HORVU4Hr1G076940,HORVU5Hr1G100890,HORVU5Hr1G100890,HORVU6Hr1G014450,HORVU6Hr1G014450,HORVU6Hr1G014450,HORVU6Hr1G033320,HORVU6Hr1G045670,HORVU6Hr1G053680,HORVU6Hr1G053680
GO:0000041	transition metal ion transport	9	HORVU2Hr1G045970,HORVU2Hr1G104610,HORVU3Hr1G069320,HORVU3Hr1G085020,HORVU6Hr1G079710,HORVU6Hr1G089130,HORVU7Hr1G088330,HORVU7Hr1G088330,HORVU7Hr1G088330
GO:0000042	protein targeting to Golgi	1	HORVU2Hr1G059170
