GO:0000002	mitochondrial genome maintenance	3	HORVU2Hr1G087660,HORVU3Hr1G105820,HORVU4Hr1G013610
GO:0000003	reproduction	5	HORVU3Hr1G061700,HORVU3Hr1G072540,HORVU5Hr1G000830,HORVU7Hr1G073410,HORVU7Hr1G091790
GO:0000012	single strand break repair	4	HORVU1Hr1G044350,HORVU2Hr1G045220,HORVU2Hr1G071710,HORVU4Hr1G056060
GO:0000019	regulation of mitotic recombination	1	HORVU1Hr1G019340
GO:0000023	maltose metabolic process	2	HORVU2Hr1G021700,HORVU2Hr1G101630
GO:0000024	maltose biosynthetic process	1	HORVU1Hr1G055140
GO:0000025	maltose catabolic process	2	HORVU2Hr1G021700,HORVU2Hr1G028940
GO:0000027	ribosomal large subunit assembly	25	HORVU0Hr1G034740,HORVU1Hr1G018750,HORVU1Hr1G024710,HORVU1Hr1G038180,HORVU1Hr1G081790,HORVU1Hr1G095080,HORVU2Hr1G073320,HORVU2Hr1G086390,HORVU3Hr1G026060,HORVU3Hr1G073730,HORVU3Hr1G080130,HORVU4Hr1G046720,HORVU4Hr1G084240,HORVU4Hr1G084410,HORVU4Hr1G084830,HORVU5Hr1G008730,HORVU5Hr1G036630,HORVU5Hr1G047980,HORVU5Hr1G061870,HORVU6Hr1G049370,HORVU6Hr1G052560,HORVU6Hr1G052600,HORVU6Hr1G067870,HORVU7Hr1G020160,HORVU7Hr1G073720
GO:0000028	ribosomal small subunit assembly	19	HORVU0Hr1G004700,HORVU1Hr1G076060,HORVU1Hr1G086380,HORVU1Hr1G089430,HORVU2Hr1G030880,HORVU2Hr1G057430,HORVU2Hr1G068980,HORVU2Hr1G086610,HORVU3Hr1G015190,HORVU3Hr1G109340,HORVU3Hr1G115820,HORVU4Hr1G074270,HORVU5Hr1G032310,HORVU5Hr1G052240,HORVU5Hr1G064940,HORVU6Hr1G037240,HORVU6Hr1G072640,HORVU7Hr1G062770,HORVU7Hr1G104220
GO:0000032	cell wall mannoprotein biosynthetic process	1	HORVU4Hr1G029660
GO:0000038	very long-chain fatty acid metabolic process	6	HORVU0Hr1G009740,HORVU1Hr1G059350,HORVU1Hr1G089710,HORVU4Hr1G067340,HORVU6Hr1G014450,HORVU7Hr1G095010
GO:0000041	transition metal ion transport	1	HORVU7Hr1G088330
GO:0000045	autophagosome assembly	16	HORVU0Hr1G008860,HORVU1Hr1G056110,HORVU1Hr1G084220,HORVU2Hr1G049500,HORVU3Hr1G017150,HORVU3Hr1G054070,HORVU3Hr1G062970,HORVU3Hr1G098020,HORVU5Hr1G013230,HORVU5Hr1G067090,HORVU5Hr1G094540,HORVU6Hr1G029550,HORVU6Hr1G034660,HORVU6Hr1G081180,HORVU6Hr1G084430,HORVU7Hr1G092320
GO:0000050	urea cycle	2	HORVU1Hr1G062900,HORVU2Hr1G005320
GO:0000053	argininosuccinate metabolic process	1	HORVU1Hr1G062900
GO:0000054	ribosomal subunit export from nucleus	2	HORVU2Hr1G026220,HORVU4Hr1G038380
GO:0000055	ribosomal large subunit export from nucleus	4	HORVU1Hr1G050300,HORVU2Hr1G100330,HORVU5Hr1G124770,HORVU6Hr1G014750
GO:0000056	ribosomal small subunit export from nucleus	3	HORVU2Hr1G100330,HORVU5Hr1G071840,HORVU5Hr1G124770
GO:0000070	mitotic sister chromatid segregation	7	HORVU1Hr1G023030,HORVU1Hr1G044590,HORVU1Hr1G067140,HORVU2Hr1G086180,HORVU4Hr1G001430,HORVU5Hr1G098780,HORVU7Hr1G115290
GO:0000076	DNA replication checkpoint	3	HORVU2Hr1G003370,HORVU4Hr1G074650,HORVU6Hr1G018060
GO:0000077	DNA damage checkpoint	5	HORVU4Hr1G046540,HORVU4Hr1G061490,HORVU4Hr1G063910,HORVU7Hr1G012570,HORVU7Hr1G118750
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	18	HORVU1Hr1G055470,HORVU1Hr1G062210,HORVU1Hr1G068080,HORVU2Hr1G107830,HORVU3Hr1G031880,HORVU3Hr1G078880,HORVU3Hr1G114440,HORVU4Hr1G011340,HORVU4Hr1G013320,HORVU4Hr1G066360,HORVU5Hr1G018180,HORVU5Hr1G059770,HORVU5Hr1G064130,HORVU5Hr1G123490,HORVU6Hr1G077500,HORVU7Hr1G046270,HORVU7Hr1G080980,HORVU7Hr1G121820
GO:0000080	mitotic G1 phase	1	HORVU4Hr1G004280
GO:0000082	G1/S transition of mitotic cell cycle	3	HORVU4Hr1G072090,HORVU6Hr1G013680,HORVU7Hr1G055440
GO:0000084	mitotic S phase	1	HORVU4Hr1G004280
GO:0000085	mitotic G2 phase	1	HORVU4Hr1G004280
GO:0000086	G2/M transition of mitotic cell cycle	2	HORVU3Hr1G032740,HORVU6Hr1G082900
GO:0000096	sulfur amino acid metabolic process	1	HORVU2Hr1G026800
GO:0000103	sulfate assimilation	9	HORVU0Hr1G003890,HORVU2Hr1G041320,HORVU3Hr1G093350,HORVU4Hr1G070220,HORVU4Hr1G081310,HORVU5Hr1G034810,HORVU5Hr1G094300,HORVU5Hr1G107210,HORVU6Hr1G087990
GO:0000105	histidine biosynthetic process	9	HORVU2Hr1G017170,HORVU2Hr1G072220,HORVU2Hr1G104280,HORVU3Hr1G016160,HORVU3Hr1G036430,HORVU3Hr1G039130,HORVU4Hr1G062310,HORVU4Hr1G081220,HORVU6Hr1G069390
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	18	HORVU0Hr1G003840,HORVU0Hr1G038470,HORVU1Hr1G014120,HORVU1Hr1G056020,HORVU1Hr1G079930,HORVU1Hr1G087600,HORVU2Hr1G001780,HORVU2Hr1G012930,HORVU3Hr1G000540,HORVU3Hr1G050320,HORVU3Hr1G096580,HORVU3Hr1G099050,HORVU4Hr1G017140,HORVU5Hr1G025710,HORVU5Hr1G123420,HORVU7Hr1G040420,HORVU7Hr1G073410,HORVU7Hr1G115870
GO:0000132	establishment of mitotic spindle orientation	3	HORVU2Hr1G118290,HORVU5Hr1G116400,HORVU5Hr1G123490
GO:0000160	phosphorelay signal transduction system	10	HORVU1Hr1G075830,HORVU3Hr1G094870,HORVU3Hr1G108540,HORVU4Hr1G001720,HORVU4Hr1G057550,HORVU5Hr1G081620,HORVU6Hr1G028680,HORVU6Hr1G057630,HORVU6Hr1G077070,HORVU7Hr1G030040
GO:0000162	tryptophan biosynthetic process	11	HORVU1Hr1G093480,HORVU2Hr1G081460,HORVU3Hr1G001040,HORVU3Hr1G003390,HORVU3Hr1G016160,HORVU3Hr1G074220,HORVU4Hr1G083210,HORVU5Hr1G115160,HORVU7Hr1G073460,HORVU7Hr1G081300,HORVU7Hr1G092800
GO:0000165	MAPK cascade	5	HORVU4Hr1G061550,HORVU4Hr1G073290,HORVU5Hr1G059840,HORVU7Hr1G021350,HORVU7Hr1G031720
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	16	HORVU0Hr1G008880,HORVU1Hr1G018060,HORVU2Hr1G055380,HORVU2Hr1G076830,HORVU2Hr1G085730,HORVU3Hr1G018170,HORVU3Hr1G018850,HORVU3Hr1G024610,HORVU3Hr1G052070,HORVU3Hr1G092610,HORVU4Hr1G049090,HORVU5Hr1G050800,HORVU6Hr1G059150,HORVU6Hr1G060230,HORVU6Hr1G094560,HORVU7Hr1G077420
GO:0000186	activation of MAPKK activity	1	HORVU5Hr1G059840
GO:0000187	activation of MAPK activity	4	HORVU5Hr1G097530,HORVU5Hr1G125290,HORVU7Hr1G021350,HORVU7Hr1G031720
GO:0000188	inactivation of MAPK activity	1	HORVU1Hr1G008230
GO:0000209	protein polyubiquitination	18	HORVU1Hr1G023480,HORVU1Hr1G027600,HORVU2Hr1G106310,HORVU3Hr1G084470,HORVU3Hr1G086540,HORVU4Hr1G004090,HORVU4Hr1G052990,HORVU4Hr1G066180,HORVU4Hr1G070330,HORVU5Hr1G003010,HORVU5Hr1G065280,HORVU5Hr1G072720,HORVU5Hr1G103580,HORVU6Hr1G016920,HORVU6Hr1G055260,HORVU7Hr1G032310,HORVU7Hr1G073520,HORVU7Hr1G108540
GO:0000212	meiotic spindle organization	3	HORVU1Hr1G023030,HORVU4Hr1G008160,HORVU7Hr1G058180
